"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"DC","\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask","N/A","Ready","Interactive/Background","4/28/2025 12:45:58 PM","268435456","Microsoft Corporation","COM handler","N/A","Maintains registrations for background tasks for Universal Windows Platform applications.","Enabled","Only Start If Idle for 0 minutes, If Not Idle Retry For 0 minutes Stop the task if Idle State end","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","00:06:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"DC","\Microsoft\Windows\CertificateServicesClient\AikCertEnrollTask","N/A","Ready","Interactive/Background","11/30/1999 12:00:00 AM","267011","Microsoft Corporation","COM handler","N/A","This task enrolls a certificate for Attestation Identity Key.","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\CryptoPolicyTask","N/A","Ready","Interactive/Background","11/30/1999 12:00:00 AM","267011","Microsoft Corporation","COM handler","N/A","This task synchronizes cryptographic policy.","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask","N/A","Ready","Interactive/Background","4/22/2025 9:47:55 AM","-2146893776","Microsoft Corporation","COM handler","N/A","This task pre-generates TPM based Attestation Identity Key (AIK) and Storage Key (SK).","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask","N/A","Ready","Interactive/Background","4/22/2025 9:47:55 AM","-2146893776","Microsoft Corporation","COM handler","N/A","This task pre-generates TPM based Attestation Identity Key (AIK) and Storage Key (SK).","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask","N/A","Ready","Interactive/Background","4/22/2025 9:47:55 AM","-2146893776","Microsoft Corporation","COM handler","N/A","This task pre-generates TPM based Attestation Identity Key (AIK) and Storage Key (SK).","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask","N/A","Ready","Interactive/Background","4/22/2025 9:47:55 AM","-2146893776","Microsoft Corporation","COM handler","N/A","This task pre-generates TPM based Attestation Identity Key (AIK) and Storage Key (SK).","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask","N/A","Ready","Interactive/Background","4/22/2025 9:47:55 AM","-2146893776","Microsoft Corporation","COM handler","N/A","This task pre-generates TPM based Attestation Identity Key (AIK) and Storage Key (SK).","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","When an event occurs","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\SystemTask","N/A","Ready","Interactive/Background","4/29/2025 5:48:19 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\SystemTask","N/A","Ready","Interactive/Background","4/29/2025 5:48:19 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\SystemTask","N/A","Ready","Interactive/Background","4/29/2025 5:48:19 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready","Interactive/Background","4/29/2025 6:47:01 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","INTERACTIVE","Disabled","Disabled","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready","Interactive/Background","4/29/2025 6:47:01 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","INTERACTIVE","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DC","\Microsoft\Windows\CertificateServicesClient\UserTask","N/A","Ready","Interactive/Background","4/29/2025 6:47:01 PM","0","Microsoft Corporation","COM handler","N/A","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.","Enabled","Disabled","Stop On Battery Mode","INTERACTIVE","Disabled","Disabled","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
