"Category","Type","Name","DisplayName","Path"
"Services","UnquotedServicePath","wercplsupport","Problem Reports Control Panel Support","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","WerSvc","Windows Error Reporting Service","C:\Windows\System32\svchost.exe -k WerSvcGroup"
"Services","UnquotedServicePath","WiaRpc","Still Image Acquisition Events","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","Winmgmt","Windows Management Instrumentation","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","WinRM","Windows Remote Management (WS-Management)","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","wisvc","Windows Insider Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","wlidsvc","Microsoft Account Sign-in Assistant","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","WPDBusEnum","Portable Device Enumerator Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"Services","UnquotedServicePath","WpnService","Windows Push Notifications System Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","WSearch","Windows Search","C:\Windows\system32\SearchIndexer.exe /Embedding"
"Services","UnquotedServicePath","wuauserv","Windows Update","C:\Windows\system32\svchost.exe -k netsvcs -p"

