"Check","Name","Value"
"ScheduledTasks","ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\"
"ScheduledTasks","Property Definition Sync","\Microsoft\Windows\File Classification Infrastructure\"
"ScheduledTasks","ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\"
"ScheduledTasks","UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\"
"ScheduledTasks","UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\"
"ScheduledTasks","RefreshCache","\Microsoft\Windows\Flighting\OneSettings\"
"ScheduledTasks","LocalUserSyncDataAvailable","\Microsoft\Windows\Input\"
"ScheduledTasks","MouseSyncDataAvailable","\Microsoft\Windows\Input\"
"ScheduledTasks","PenSyncDataAvailable","\Microsoft\Windows\Input\"
"ScheduledTasks","TouchpadSyncDataAvailable","\Microsoft\Windows\Input\"
"ScheduledTasks","ScanForUpdates","\Microsoft\Windows\InstallService\"
"ScheduledTasks","ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\"
"ScheduledTasks","SmartRetry","\Microsoft\Windows\InstallService\"
"ScheduledTasks","WakeUpAndContinueUpdates","\Microsoft\Windows\InstallService\"
"ScheduledTasks","WakeUpAndScanForUpdates","\Microsoft\Windows\InstallService\"
"ScheduledTasks","Synchronize Language Settings","\Microsoft\Windows\International\"
"ScheduledTasks","Installation","\Microsoft\Windows\LanguageComponentsInstaller\"
"ScheduledTasks","Uninstallation","\Microsoft\Windows\LanguageComponentsInstaller\"
"ScheduledTasks","TempSignedLicenseExchange","\Microsoft\Windows\License Manager\"
"ScheduledTasks","Notifications","\Microsoft\Windows\Location\"
"ScheduledTasks","WindowsActionDialog","\Microsoft\Windows\Location\"
"ScheduledTasks","WinSAT","\Microsoft\Windows\Maintenance\"
"ScheduledTasks","MapsToastTask","\Microsoft\Windows\Maps\"
"ScheduledTasks","MapsUpdateTask","\Microsoft\Windows\Maps\"
"ScheduledTasks","ProcessMemoryDiagnosticEvents","\Microsoft\Windows\MemoryDiagnostic\"
"ScheduledTasks","RunFullMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\"
"ScheduledTasks","LPRemove","\Microsoft\Windows\MUI\"
"ScheduledTasks","SystemSoundsService","\Microsoft\Windows\Multimedia\"
"ScheduledTasks","GatherNetworkInfo","\Microsoft\Windows\NetTrace\"
"ScheduledTasks","SDN Diagnostics Task","\Microsoft\Windows\Network Controller\"
"ScheduledTasks","Background Synchronization","\Microsoft\Windows\Offline Files\"
