"DisplayName","Name","State","StartMode","PathName","Suspicious"
"pcmcia","pcmcia","Stopped","Manual","C:\Windows\system32\drivers\pcmcia.sys","False"
"Performance Counters for Windows Driver","pcw","Running","Boot","C:\Windows\system32\drivers\pcw.sys","False"
"pdc","pdc","Running","Boot","C:\Windows\system32\drivers\pdc.sys","False"
"PEAUTH","PEAUTH","Running","Auto","C:\Windows\system32\drivers\peauth.sys","False"
"percsas2i","percsas2i","Stopped","Manual","C:\Windows\system32\drivers\percsas2i.sys","False"
"percsas3i","percsas3i","Stopped","Manual","C:\Windows\system32\drivers\percsas3i.sys","False"
"Packet Monitor Driver","PktMon","Stopped","Manual","C:\Windows\system32\drivers\PktMon.sys","False"
"Microsoft persistent memory disk driver","pmem","Stopped","Manual","C:\Windows\system32\drivers\pmem.sys","False"
"Microsoft Memory Module Driver","PNPMEM","Stopped","Manual","C:\Windows\system32\drivers\pnpmem.sys","False"
"portcfg","portcfg","Stopped","Manual","C:\Windows\system32\drivers\portcfg.sys","False"
"WAN Miniport (PPTP)","PptpMiniport","Running","Manual","C:\Windows\system32\drivers\raspptp.sys","False"
"Processor Driver","Processor","Stopped","Manual","C:\Windows\system32\drivers\processr.sys","False"
"QoS Packet Scheduler","Psched","Running","System","C:\Windows\system32\drivers\pacer.sys","False"
"QWAVE driver","QWAVEdrv","Stopped","Manual","C:\Windows\system32\drivers\qwavedrv.sys","False"
"Windows RAM Disk Driver","Ramdisk","Stopped","Manual","C:\Windows\system32\DRIVERS\ramdisk.sys","False"
"Remote Access Auto Connection Driver","RasAcd","Stopped","Manual","C:\Windows\system32\DRIVERS\rasacd.sys","False"
"WAN Miniport (IKEv2)","RasAgileVpn","Running","Manual","C:\Windows\system32\drivers\AgileVpn.sys","False"
"WAN Miniport (L2TP)","Rasl2tp","Running","Manual","C:\Windows\system32\drivers\rasl2tp.sys","False"
"Remote Access PPPOE Driver","RasPppoe","Running","Manual","C:\Windows\system32\DRIVERS\raspppoe.sys","False"
"WAN Miniport (SSTP)","RasSstp","Running","Manual","C:\Windows\system32\drivers\rassstp.sys","False"
"Redirected Buffering Sub System","rdbss","Running","System","C:\Windows\system32\DRIVERS\rdbss.sys","False"
"Remote Desktop Device Redirector Bus Driver","rdpbus","Running","Manual","C:\Windows\system32\drivers\rdpbus.sys","False"
"Remote Desktop Device Redirector Driver","RDPDR","Stopped","Manual","C:\Windows\system32\drivers\rdpdr.sys","False"
"Remote Desktop Video Miniport Driver","RdpVideoMiniport","Stopped","Manual","C:\Windows\system32\drivers\rdpvideominiport.sys","False"
"ReadyBoost","rdyboost","Running","Boot","C:\Windows\system32\drivers\rdyboost.sys","False"
"ReFS","ReFS","Stopped","Manual","C:\Windows\system32\drivers\ReFS.sys","False"
"ReFSv1","ReFSv1","Stopped","Manual","C:\Windows\system32\drivers\ReFSv1.sys","False"
"Bluetooth Device (RFCOMM Protocol TDI)","RFCOMM","Stopped","Manual","C:\Windows\system32\drivers\rfcomm.sys","False"
"Resource Hub proxy driver","rhproxy","Stopped","Manual","C:\Windows\system32\drivers\rhproxy.sys","False"
"Link-Layer Topology Discovery Responder","rspndr","Running","Auto","C:\Windows\system32\drivers\rspndr.sys","False"
"s3cap","s3cap","Stopped","Manual","C:\Windows\system32\drivers\vms3cap.sys","False"
"SBP-2 Transport/Protocol Bus Driver","sbp2port","Stopped","Manual","C:\Windows\system32\drivers\sbp2port.sys","False"
"Smart card PnP Class Filter Driver","scfilter","Stopped","Manual","C:\Windows\system32\DRIVERS\scfilter.sys","False"
"Microsoft Storage Class Memory Bus Driver","scmbus","Stopped","Manual","C:\Windows\system32\drivers\scmbus.sys","False"
"sdbus","sdbus","Stopped","Manual","C:\Windows\system32\drivers\sdbus.sys","False"
"SDF Reflector","SDFRd","Stopped","Manual","C:\Windows\system32\drivers\SDFRd.sys","False"
"SD Storage Port Driver","sdstor","Stopped","Manual","C:\Windows\system32\drivers\sdstor.sys","False"
"Serial UART Support Library","SerCx","Stopped","Manual","C:\Windows\system32\drivers\SerCx.sys","False"
"Serial UART Support Library","SerCx2","Stopped","Manual","C:\Windows\system32\drivers\SerCx2.sys","False"
"Serenum Filter Driver","Serenum","Stopped","Manual","C:\Windows\system32\drivers\serenum.sys","False"
"Serial port driver","Serial","Stopped","Manual","C:\Windows\system32\drivers\serial.sys","False"
